Player,Team,Positions,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS
Erik Gonzalez,PIT,"1B,2B,3B,SS",319,37,6,33,6,0.254,0.287,81,18,2,15,84,0.375,0.662
Dominic Smith,NYM,"1B,LF",178,20,5,19,0,0.221,0.272,39,6,1,12,51,0.363,0.635
Mark Reynolds,COL,1B,233,31,12,37,1,0.248,0.323,58,11,1,26,73,0.457,0.779
Stephen Vogt,SF,"C,1B",121,14,5,16,0,0.245,0.3,30,7,1,10,23,0.418,0.718
Pablo Sandoval,SF,"1B,3B",236,25,9,34,1,0.242,0.296,57,11,1,18,53,0.402,0.697
Ryder Jones,SF,"1B,3B",88,10,3,10,0,0.224,0.282,20,5,1,7,26,0.323,0.605
Ryan Rua,,"1B,LF,RF",123,17,5,14,4,0.22,0.27,27,4,1,9,45,0.382,0.651
Adam Rosales,MIN,1B,167,19,6,24,1,0.234,0.283,39,9,0,11,49,0.386,0.668
Brandon Dixon,DET,"1B,RF",137,17,5,17,3,0.249,0.302,34,8,1,10,43,0.434,0.735
Cheslor Cuthbert,KC,"1B,3B,DH",100,10,3,10,0,0.241,0.298,24,4,0,8,23,0.362,0.659
Andrew Romine,PHI,"1B,2B,3B,SS,CF",111,15,1,7,2,0.222,0.27,25,3,1,7,29,0.303,0.573
Corban Joseph,OAK,"1B,2B",32,4,1,4,0,0.266,0.329,9,2,0,3,4,0.435,0.764
Matt Thaiss,LAA,1B,30,4,1,3,0,0.237,0.286,7,2,0,2,8,0.39,0.675
Jarrod Saltalamacchia,,"C,1B",43,4,1,4,0,0.165,0.253,7,2,0,5,18,0.289,0.542
Stephen Wilkerson,BAL,IF,214,23,5,22,4,0.236,0.287,51,11,1,16,56,0.347,0.634
Abiatal Avelino,SF,IF,72,8,2,8,2,0.259,0.305,19,4,1,5,16,0.334,0.639
Blake Trahan,CIN,IF,122,14,3,13,2,0.262,0.316,32,9,1,10,26,0.292,0.608
Tyler France,SD,IF,185,22,6,23,2,0.247,0.303,46,10,1,15,42,0.399,0.702
